,Unicode,Character
916,\u5193,冓
917,\u5194,冔
918,\u5195,冕
919,\u5196,冖
920,\u5197,冗
921,\u5198,冘
922,\u5199,写
923,\u519A,冚
924,\u519B,军
925,\u519C,农
926,\u519D,冝
927,\u519E,冞
928,\u519F,冟
929,\u51A0,冠
930,\u51A1,冡
931,\u51A2,冢
932,\u51A3,冣
933,\u51A4,冤
934,\u51A5,冥
935,\u51A6,冦
936,\u51A7,冧
937,\u51A8,冨
938,\u51A9,冩
939,\u51AA,冪
940,\u51AB,冫
941,\u51AC,冬
942,\u51AD,冭
943,\u51AE,冮
944,\u51AF,冯
945,\u51B0,冰
946,\u51B1,冱
947,\u51B2,冲
948,\u51B3,决
949,\u51B4,冴
950,\u51B5,况
951,\u51B6,冶
952,\u51B7,冷
953,\u51B8,冸
954,\u51B9,冹
955,\u51BA,冺
956,\u51BB,冻
957,\u51BC,冼
958,\u51BD,冽
959,\u51BE,冾
960,\u51BF,冿
961,\u51C0,净
962,\u51C1,凁
963,\u51C2,凂
964,\u51C3,凃
965,\u51C4,凄
966,\u51C5,凅
967,\u51C6,准
968,\u51C7,凇
969,\u51C8,凈
970,\u51C9,凉
971,\u51CA,凊
972,\u51CB,凋
973,\u51CC,凌
974,\u51CD,凍
975,\u51CE,凎
976,\u51CF,减
977,\u51D0,凐
978,\u51D1,凑
979,\u51D2,凒
980,\u51D3,凓
981,\u51D4,凔
982,\u51D5,凕
983,\u51D6,凖
984,\u51D7,凗
985,\u51D8,凘
986,\u51D9,凙
987,\u51DA,凚
988,\u51DB,凛
989,\u51DC,凜
990,\u51DD,凝
991,\u51DE,凞
992,\u51DF,凟
993,\u51E0,几
994,\u51E1,凡
995,\u51E2,凢
996,\u51E3,凣
997,\u51E4,凤
998,\u51E5,凥
999,\u51E6,処
1000,\u51E7,凧
1001,\u51E8,凨
1002,\u51E9,凩
1003,\u51EA,凪
1004,\u51EB,凫
1005,\u51EC,凬
1006,\u51ED,凭
1007,\u51EE,凮
1008,\u51EF,凯
1009,\u51F0,凰
1010,\u51F1,凱
1011,\u51F2,凲
1012,\u51F3,凳
1013,\u51F4,凴
1014,\u51F5,凵
1015,\u51F6,凶
1016,\u51F7,凷
1017,\u51F8,凸
1018,\u51F9,凹
1019,\u51FA,出
1020,\u51FB,击
1021,\u51FC,凼
1022,\u51FD,函
1023,\u51FE,凾
1024,\u51FF,凿
1025,\u5200,刀
1026,\u5201,刁
1027,\u5202,刂
1028,\u5203,刃
1029,\u5204,刄
1030,\u5205,刅
1031,\u5206,分
1032,\u5207,切
1033,\u5208,刈
1034,\u5209,刉
1035,\u520A,刊
1036,\u520B,刋
1037,\u520C,刌
1038,\u520D,刍
1039,\u520E,刎
1040,\u520F,刏
1041,\u5210,刐
1042,\u5211,刑
1043,\u5212,划
1044,\u5213,刓
1045,\u5214,刔
1046,\u5215,刕
1047,\u5216,刖
1048,\u5217,列
1049,\u5218,刘
1050,\u5219,则
1051,\u521A,刚
